MatterID,Status,CaseSequenceNumber
22205115,Open,16-2022-CA-004794-XXXX-MA
22205152,Open,16-2022-SC-018808-INSX-MA
22205328,Open,16-2022-SC-016974-INSX-MA
22205343,Open,16-2022-SC-018090-INSX-MA
22205371,Open,16-2022-SC-018223-INSX-MA
22205481,Open,16-2022-SC-017646-INSX-MA
22205516,Open,16-2022-SC-017796-INSX-MA
22205522,Open,16-2022-SC-017978-INSX-MA
22205532,Open,16-2022-SC-017749-INSX-MA
22205540,Open,16-2022-SC-017783-INSX-MA
22205561,Open,16-2022-SC-017753-INSX-MA
22205562,Open,16-2022-SC-017787-INSX-MA
22205564,Open,16-2022-SC-018605-INSX-MA
22205567,Open,16-2022-SC-017837-INSX-MA
22205606,Open,16-2022-SC-017983-INSX-MA
22205607,Open,16-2022-SC-017826-INSX-MA
22205609,Open,16-2022-SC-017989-INSX-MA
22205686J,Open,16-2022-SC-017714-INSX-MA
22205705,Open,16-2022-SC-018192-INSX-MA
22205706,Open,16-2022-SC-019321-INSX-MA
22205722,Open,16-2022-SC-018075-INSX-MA
22205755J,Open,16-2022-SC-018996-INSX-MA
22205759J,Open,16-2022-SC-018604-INSX-MA
22205760J,Open,16-2022-SC-018577-INSX-MA
22205778J,Open,16-2022-SC-010348-INSX-MA
22205784T,Open,16-2022-SC-017524-INSX-MA
22205793,Open,16-2022-CA-004524-XXXX-MA
22205812,Open,16-2022-SC-018246-INSX-MA
22205815,Open,16-2022-SC-018059-INSX-MA
22205816,Open,16-2022-SC-018128-INSX-MA
22205817,Open,16-2022-SC-018245-INSX-MA
22205819,Open,16-2022-SC-018092-INSX-MA
22205820,Open,16-2022-SC-018247-INSX-MA
22205824,Open,16-2022-SC-017888-INSX-MA
22205829,Open,16-2022-SC-018060-INSX-MA
22205830,Open,16-2022-SC-018146-INSX-MA
22205832,Open,16-2022-SC-018091-INSX-MA
22205836,Open,16-2022-SC-017940-INSX-MA
22205837,Open,16-2022-SC-018389-INSX-MA
22205880J,Open,16-2022-SC-018558-INSX-MA
22205905R,Open,16-2022-SC-018598-INSX-MA
22205907R,Open,16-2022-SC-018511-INSX-MA
22205916,Open,16-2022-SC-019430-INSX-MA
22205920J,Open,16-2022-SC-019522-INSX-MA
22205981R,Open,16-2022-SC-019450-INSX-MA
22206002R,Open,16-2022-SC-019650-INSX-MA
22206006,Open,16-2022-SC-019667-INSX-MA
22206013T,Open,16-2022-SC-018911-INSX-MA
22206033,Open,16-2022-SC-018612-INSX-MA
22206045,Open,16-2022-CC-010670-XXXX-MA
22206178R,Open,16-2022-SC-019348-INSX-MA
22206181J,Open,16-2022-SC-019423-INSX-MA
22206205R,Open,16-2022-SC-019272-INSX-MA
22206233,Open,16-2022-SC-020106-INSX-MA
22206234,Open,16-2022-SC-019793-INSX-MA
22206235,Open,16-2022-SC-019781-INSX-MA
22206256R,Open,16-2022-SC-020038-INSX-MA
22206293,Open,16-2022-SC-019271-INSX-MA
22206411R,Open,16-2022-SC-019921-INSX-MA
22206438,Open,16-2022-SC-020742-INSX-MA
22206454,Open,16-2022-SC-020700-INSX-MA
22206457,Open,16-2022-SC-020518-INSX-MA
22206481,Open,16-2022-SC-020615-INSX-MA
22206483,Open,16-2022-SC-019846-INSX-MA
22206484,Open,16-2022-SC-020623-INSX-MA
22206547R,Open,16-2022-SC-012540-INSX-MA
22206556R,Open,16-2022-SC-020188-INSX-MA
22206559R,Open,16-2022-SC-019920-INSX-MA
22206711,Open,16-2022-SC-020658-INSX-MA
